TempC,TempF,Humi
28.32,86.97,55.70
28.30,86.93,55.70
28.30,86.93,55.64
28.30,86.93,55.61
28.30,86.93,55.61
28.26,86.86,55.56
28.30,86.93,55.57
28.30,86.93,55.59
28.28,86.91,55.62
28.28,86.91,55.66
28.30,86.93,55.74
28.28,86.91,55.75
28.30,86.93,55.79
28.30,86.93,55.79
28.32,86.97,55.83
28.30,86.93,55.82
28.28,86.91,55.81
28.32,86.97,55.79
28.28,86.91,55.70
28.27,86.89,55.71
28.24,86.83,55.54
28.27,86.89,55.38
28.24,86.83,55.37
28.24,86.83,55.42
28.23,86.81,55.54
28.24,86.83,55.59
28.24,86.83,55.65
28.23,86.81,55.61
28.24,86.83,55.53
28.23,86.81,55.48
28.24,86.83,55.44
28.20,86.76,55.38
28.23,86.81,55.33
28.21,86.79,55.31
28.21,86.79,55.35
28.18,86.73,55.37
28.18,86.73,55.33
28.20,86.76,55.26
28.18,86.73,55.21
28.18,86.73,55.21
28.20,86.76,55.26
28.17,86.71,55.35
28.16,86.68,55.36
28.17,86.71,55.38
28.16,86.68,55.45
28.16,86.68,55.49
28.16,86.68,55.51
28.14,86.66,55.50
28.16,86.68,55.51
28.13,86.63,55.50
28.14,86.66,55.48
28.16,86.68,55.50
28.16,86.68,55.47
28.13,86.63,55.47
28.14,86.66,55.50
28.12,86.61,55.48
28.14,86.66,55.51
28.14,86.66,55.53
28.14,86.66,55.58
28.14,86.66,55.56
28.14,86.66,55.52
28.13,86.63,55.43
28.10,86.58,55.30
28.14,86.66,55.26
28.12,86.61,55.24
28.12,86.61,55.26
28.09,86.56,55.21
28.12,86.61,55.07
28.09,86.56,54.94
28.12,86.61,55.04
28.10,86.58,55.08
28.09,86.56,55.16
28.10,86.58,55.22
28.10,86.58,55.26
28.10,86.58,55.23
28.09,86.56,55.18
28.09,86.56,55.12
28.09,86.56,55.07
28.07,86.53,54.94
28.09,86.56,54.94
28.09,86.56,55.03
28.07,86.53,54.99
28.06,86.51,54.95
28.07,86.53,54.91
28.09,86.56,54.89
28.09,86.56,54.93
28.09,86.56,54.93
28.07,86.53,54.95
28.07,86.53,54.95
28.09,86.56,54.93
28.06,86.51,54.93
28.06,86.51,54.82
28.07,86.53,54.73
28.06,86.51,54.81
28.03,86.46,54.80
28.06,86.51,54.84
28.05,86.48,54.73
28.05,86.48,54.64
28.05,86.48,54.61
28.06,86.51,54.63
28.03,86.46,54.65
28.03,86.46,54.67
28.02,86.43,54.69
28.03,86.46,54.71
28.02,86.43,54.71
28.02,86.43,54.76
28.00,86.41,54.70
28.03,86.46,54.66
28.02,86.43,54.64
27.99,86.38,54.67
28.02,86.43,54.64
28.00,86.41,54.65
28.00,86.41,54.64
28.00,86.41,54.67
27.99,86.38,54.70
27.98,86.36,54.67
27.98,86.36,54.67
28.00,86.41,54.68
28.00,86.41,54.65
27.99,86.38,54.58
28.02,86.43,54.57
28.00,86.41,54.59
28.00,86.41,54.64
28.00,86.41,54.64
28.02,86.43,54.66
28.00,86.41,54.68
28.00,86.41,54.66
28.00,86.41,54.58
28.00,86.41,54.47
28.00,86.41,54.41
28.00,86.41,54.36
27.98,86.36,54.34
28.00,86.41,54.37
27.99,86.38,54.39
27.98,86.36,54.43
27.99,86.38,54.39
28.00,86.41,54.49
27.99,86.38,54.51
27.99,86.38,54.49
28.02,86.43,54.53
28.02,86.43,54.56
27.99,86.38,54.53
28.02,86.43,54.56
28.03,86.46,54.55
28.02,86.43,54.55
28.02,86.43,54.52
28.00,86.41,54.44
27.99,86.38,54.36
28.02,86.43,54.33
28.00,86.41,54.34
27.98,86.36,54.37
28.02,86.43,54.35
27.99,86.38,54.36
28.02,86.43,54.39
28.02,86.43,54.41
28.02,86.43,54.40
28.00,86.41,54.39
28.00,86.41,54.42
28.00,86.41,54.41
28.00,86.41,54.43
27.99,86.38,54.48
28.02,86.43,54.45
28.03,86.46,54.51
28.02,86.43,54.53
28.03,86.46,54.53
28.02,86.43,54.56
28.03,86.46,54.57
28.03,86.46,54.56
28.03,86.46,54.60
28.03,86.46,54.65
28.03,86.46,54.65
28.05,86.48,54.69
28.06,86.51,54.66
28.05,86.48,54.66
28.07,86.53,54.72
28.05,86.48,54.74
28.05,86.48,54.74
28.07,86.53,54.76
28.07,86.53,54.79
28.06,86.51,54.82
28.06,86.51,54.83
28.09,86.56,54.91
28.06,86.51,54.90
28.09,86.56,54.94
28.07,86.53,54.92
28.10,86.58,54.95
28.10,86.58,54.98
28.13,86.63,54.98
28.14,86.66,55.03
28.12,86.61,55.04
28.13,86.63,55.07
28.13,86.63,55.05
28.13,86.63,55.08
28.14,86.66,55.11
28.13,86.63,55.13
28.14,86.66,55.11
28.16,86.68,55.11
28.17,86.71,55.14
28.14,86.66,55.19
28.17,86.71,55.19
28.17,86.71,55.18
28.20,86.76,55.21
28.18,86.73,55.22
28.17,86.71,55.20
28.18,86.73,55.19
28.20,86.76,55.25
28.20,86.76,55.24
28.21,86.79,55.27
28.18,86.73,55.29
28.21,86.79,55.30
28.24,86.83,55.36
28.23,86.81,55.42
28.21,86.79,55.47
28.24,86.83,55.48
28.23,86.81,55.48
28.24,86.83,55.47
28.26,86.86,55.52
28.26,86.86,55.46
28.24,86.83,55.49
28.26,86.86,55.52
28.27,86.89,55.47
28.27,86.89,55.53
28.30,86.93,55.56
28.28,86.91,55.57
28.28,86.91,55.56
28.28,86.91,55.57
28.27,86.89,55.55
28.30,86.93,55.61
28.30,86.93,55.61
28.32,86.97,55.64
28.32,86.97,55.58
28.33,86.99,55.65
28.33,86.99,55.72
28.32,86.97,55.74
28.34,87.02,55.79
28.33,86.99,55.80
28.33,86.99,55.83
28.33,86.99,55.80
28.37,87.07,55.79
28.36,87.04,55.78
28.36,87.04,55.83
28.34,87.02,55.88
28.36,87.04,55.85
28.37,87.07,55.86
28.37,87.07,55.88
28.38,87.09,55.94
28.40,87.12,55.94
28.40,87.12,55.94
28.38,87.09,55.92
28.43,87.17,55.95
28.43,87.17,55.98
28.43,87.17,55.92
28.41,87.15,55.96
28.41,87.15,55.93
28.44,87.19,55.97
28.45,87.22,56.04
28.44,87.19,56.06
28.44,87.19,56.08
28.43,87.17,56.09
28.44,87.19,56.11
28.45,87.22,56.15
28.47,87.25,56.13
28.45,87.22,56.15
28.45,87.22,56.13
28.50,87.29,56.15
28.48,87.27,56.10
28.47,87.25,56.12
28.50,87.29,56.12
28.51,87.32,56.14
28.50,87.29,56.14
28.50,87.29,56.15
28.53,87.35,56.16
28.53,87.35,56.18
28.53,87.35,56.22
28.51,87.32,56.21
28.57,87.42,56.23
28.54,87.37,56.24
28.55,87.40,56.22
28.53,87.35,56.22
28.55,87.40,56.27
28.55,87.40,56.30
28.57,87.42,56.25
28.57,87.42,56.29
28.58,87.45,56.29
28.57,87.42,56.27
28.58,87.45,56.29
28.61,87.50,56.30
28.61,87.50,56.31
28.60,87.47,56.31
28.60,87.47,56.36
28.61,87.50,56.36
28.63,87.53,56.42
28.63,87.53,56.41
28.61,87.50,56.40
28.63,87.53,56.42
28.61,87.50,56.43
28.64,87.55,56.45
28.64,87.55,56.45
28.63,87.53,56.43
28.64,87.55,56.43
28.65,87.57,56.43
28.64,87.55,56.45
28.65,87.57,56.47
28.64,87.55,56.49
28.65,87.57,56.50
28.68,87.63,56.49
28.65,87.57,56.52
28.67,87.60,56.57
28.67,87.60,56.61
28.67,87.60,56.59
28.68,87.63,56.61
28.67,87.60,56.60
28.71,87.67,56.61
28.69,87.65,56.64
28.71,87.67,56.61
28.69,87.65,56.59
28.69,87.65,56.65
28.72,87.70,56.63
28.71,87.67,56.64
28.72,87.70,56.65
28.68,87.63,56.70
28.74,87.73,56.68
28.72,87.70,56.72
28.71,87.67,56.73
28.72,87.70,56.74
28.69,87.65,56.74
28.74,87.73,56.80
28.74,87.73,56.82
28.74,87.73,56.86
28.74,87.73,56.83
28.75,87.75,56.86
28.75,87.75,56.83
28.74,87.73,56.80
28.75,87.75,56.86
28.75,87.75,56.90
28.75,87.75,56.91
28.76,87.78,56.92
28.78,87.80,56.92
28.75,87.75,56.89
28.79,87.83,56.90
28.78,87.80,56.87
28.76,87.78,56.87
28.76,87.78,56.90
28.78,87.80,56.91
28.79,87.83,56.91
28.79,87.83,56.92
28.79,87.83,56.91
28.81,87.85,56.93
28.81,87.85,56.98
28.81,87.85,57.00
28.81,87.85,57.01
28.79,87.83,56.96
28.85,87.93,57.05
28.83,87.90,57.01
28.83,87.90,57.06
28.83,87.90,57.08
28.82,87.88,57.07
28.82,87.88,57.10
28.83,87.90,57.10
28.85,87.93,57.14
28.82,87.88,57.14
28.83,87.90,57.17
28.85,87.93,57.15
28.88,87.98,57.16
28.85,87.93,57.19
28.87,87.96,57.18
28.83,87.90,57.17
28.88,87.98,57.19
28.88,87.98,57.24
28.87,87.96,57.34
28.88,87.98,57.38
28.88,87.98,57.36
28.85,87.93,57.36
28.88,87.98,57.34
28.88,87.98,57.35
28.89,88.01,57.41
28.89,88.01,57.41
28.89,88.01,57.43
28.87,87.96,57.49
28.89,88.01,57.52
28.89,88.01,57.55
28.89,88.01,57.53
28.89,88.01,57.56
28.91,88.03,57.57
28.91,88.03,57.57
28.89,88.01,57.60
28.91,88.03,57.61
28.91,88.03,57.70
28.88,87.98,57.71
28.92,88.06,57.77
28.89,88.01,57.78
28.91,88.03,57.85
28.93,88.08,57.84
28.89,88.01,57.89
28.92,88.06,57.89
28.92,88.06,57.88
28.89,88.01,57.84
28.92,88.06,57.86
28.91,88.03,57.84
28.92,88.06,57.85
28.92,88.06,57.84
28.93,88.08,57.82
28.93,88.08,57.80
28.93,88.08,57.83
28.95,88.11,57.86
28.93,88.08,57.85
28.95,88.11,57.91
28.95,88.11,57.95
28.95,88.11,57.98
28.93,88.08,58.03
28.98,88.16,58.06
28.93,88.08,58.07
28.93,88.08,58.08
28.96,88.14,58.06
28.95,88.11,58.04
28.96,88.14,58.01
28.96,88.14,58.01
28.96,88.14,57.97
28.96,88.14,57.98
28.95,88.11,57.98
28.99,88.18,58.02
28.96,88.14,58.03
28.98,88.16,58.05
29.01,88.21,58.03
28.98,88.16,58.06
28.99,88.18,58.09
28.99,88.18,58.11
28.99,88.18,58.14
28.99,88.18,58.15
29.01,88.21,58.14
28.99,88.18,58.16
29.01,88.21,58.13
29.02,88.24,58.20
29.01,88.21,58.22
29.03,88.26,58.24
29.02,88.24,58.23
29.03,88.26,58.26
29.01,88.21,58.28
29.05,88.28,58.29
29.02,88.24,58.29
29.02,88.24,58.32
29.03,88.26,58.29
29.05,88.28,58.29
29.05,88.28,58.27
29.03,88.26,58.25
29.05,88.28,58.27
29.02,88.24,58.24
29.05,88.28,58.22
29.05,88.28,58.21
29.03,88.26,58.19
29.03,88.26,58.21
29.03,88.26,58.17
29.06,88.31,58.21
29.06,88.31,58.20
29.06,88.31,58.17
29.08,88.34,58.21
29.06,88.31,58.18
29.06,88.31,58.14
29.05,88.28,58.10
29.06,88.31,58.14
29.08,88.34,58.07
29.06,88.31,58.08
29.08,88.34,58.08
29.05,88.28,58.08
29.06,88.31,58.07
